Shooter,Shots Attempted,SSI Player ID
Taevion Kinsey,49,b17e9b18-8167-47ec-b96c-1a1c88208376
Chris Mantis,49,d2d320cb-de1d-4f2f-b238-9697f02b41ff
Kendall Brown,49,84863ea4-7e22-4827-9c1e-091a16291b37
Johnny O'Neil,48,266b9ca1-6596-4d2a-947a-0f602c0af725
Drew Peterson,48,b385f90c-bbc7-4346-8507-4d626e2c0c61
John Ukomadu,47,b4f22d30-f720-4880-9fc3-a7a1f5679086
Trevon Scott,47,fc067294-4b2b-42aa-bea6-88cda36ce6d2
Evan Gilyard,46,0f656aa8-c62c-4fad-ad9f-3442cdc15e50
A.J. Lawson,46,ed39e2d6-ce65-43e5-9ea9-d579d0526a1f
Darius Brown,46,b7ae8764-a482-4551-82ac-7a91c8292e4b
Riley Minix,45,d4332b50-b7fb-4429-9525-e10587f584d9
Nolan Hickman,45,b8b01afe-00df-407e-b0ee-229eacce163c
Caleb Grill,45,bbae8544-616e-4d08-9a98-a20e5d47e694
Jayson Kent,45,dc854637-bbf4-4710-94b5-8c953db3ce27
Alex Reese,45,1f6ef8b2-5d7a-4ca6-a9f2-cc8c06c032b8
Jaylin Williams,44,db384374-d594-45b6-a3de-9aa8a66dc226
Damion Baugh,44,bcde43ef-a7dd-4d4d-9d7e-a0585052e0b9
Sean McNeil,44,4f71e857-f644-4dfc-9ae8-65416c90df71
Olivier Sarr,44,584a880d-84b9-40fd-876e-852044392606
Zach Freemantle,44,aaa72835-bf87-4903-8432-953c82e91876
Kessler Edwards,44,0dbaa8bb-491d-40b7-ad09-f4605dda699c
Nate Williams,44,3ab12c09-2aae-4bc0-a45e-0132e6751116
Kobe Johnson,43,9f123592-d747-4a41-b903-ad6bcb6ac751
Jahmir Young,43,dc80c41d-ab1d-4aa4-be9f-8830d7e0dd62
Donovan Williams,43,12136b74-23d8-49b4-b4de-98a320969c76
Wendell Moore Jr.,42,96f746dd-7dfb-4ea4-a98c-39ed5d2a0fd5
Jaxson Robinson,42,e7e970a3-7025-4ccc-b0f7-271f94238ee5
Marques Bolden,42,95b6d616-e911-4060-869d-7f633e7ec049
Lucas Williamson,42,f0ae386a-6794-4f37-b447-84822aa60c4b
Nick Smith Jr.,42,b2d1fbf7-72be-4469-b0c2-db6677a145bd
Ahmad Caver,42,b37bbd3b-102d-42c2-9bfe-7874d64e9068
Jayden Nunn,41,174b4cc1-dd31-428b-97ad-093422ffe324
Javan Johnson,41,5bf3dc6a-f0bf-4146-9233-0714a95538e5
Alize Johnson,41,c97ec77d-b190-477c-8f04-2d8be4554830
Kobe Bufkin,41,9e453254-b85d-43ba-a615-8bf683d94834
Bryce Thompson,40,cc61028a-3c21-4917-a6fe-607bb4085636
Zeke Mayo,39,2aa9c687-ca9d-4478-a2c7-8f2797b308b2
Andrew Carr,38,d2f39898-17d1-4d74-bfca-1719672b051a
Matthew Murrell,38,42aff9d8-9839-4949-ac9d-97663c8eae23
DJ Rodman,38,18ec54f9-3c06-457d-a0c8-04f2aa513754
Marcus Burk,38,017ced69-5d96-4160-b064-3a051a5c9efe
Leaky Black,37,baf1b89d-5bf9-44d8-ae08-43b643b89914
Keyontae Johnson,37,d5348336-15a5-416f-8312-bd7030a6277b
Harrison Ingram,36,289b86f4-5aea-4603-a5e7-54793e5eb584
Chris Youngblood,36,35206de4-a3c1-415a-b596-126c0ab7b44a
Tevian Jones,36,1d44afa0-7106-441c-b8ed-cc5e216e866b
Alondes Williams,36,e555cb48-990b-4ef7-8464-59adc6adf34d
Bobi Klintman,36,61c18542-cf37-49c7-b486-337bb809d326
Gabe McGlothan,36,32f54c28-47c6-4d3c-8364-c3956aef7190
Jacksen Moni,36,b16076ab-b7f1-4f61-b1ce-87471a1be027
Efe Abogidi,36,2a962d8e-05d1-4d9c-ae45-e128f2ae9c81
Isaiah Crawford,35,cc5a020f-5862-494b-a997-26288b4f4f12
Enrique Freeman,35,f838df3f-72c5-4cf1-a555-7182e3dccd13
Chase Hunter,35,50fd1b80-b17c-4168-9cd8-b67adeef9040
D'Moi Hodge,35,4fca8d39-a522-46f0-b222-226b8180e35a
Chucky Hepburn,35,4ac4a0ab-ea85-4870-8bd5-9670073a3df4
Tristan Enaruna,35,998f2322-7dab-4353-99d7-b23e57eeb3ed
Buddy Boeheim,35,b19737e4-2806-4548-b14b-2062175fb05e
Javonte Cooke,34,0c8af3e4-85bf-4c62-921b-d5cc21594198
Hunter Sallis,34,6d6c60fb-827b-4b00-9033-8fb8a4fb0f32
David Roddy,34,ab0a4d97-fd7b-40d9-a72f-b2a862039584
Mark Armstrong,33,3bc6f704-0fda-4f85-a681-a41d1178948b
Payton Sandfort,33,54f7a3fd-6e94-4630-9ca3-e05af980008d
Pacome Dadiet,33,810fd8fe-5999-4962-9441-004f4a25fea2
Aaron Scott,33,800b6f8d-e4b2-40c8-9891-40fa3f84efc3
John Butler Jr.,32,16110c22-e5e0-4925-94a9-959285132aeb
Luke Goode,32,4144db18-4210-42b8-af58-fd1dd83e87c6
Dwight Murray, Jr.,32,7880b823-77c5-4925-a287-1af2424a923b
Malachi Smith,32,cf11631f-67ad-4f08-9466-e66859baa68e
Kyle Guy,32,9eed3d99-6049-4cd0-96bb-4fabb8ad8ddd
Nate Santos,32,5d98e4d9-9d4c-416e-896e-662ef6de036b
AJ Hoggard,32,91fbbfa3-eabc-4c5d-b0d0-b2fc674c84bb
Nate Hinton,32,2827a99a-9a36-4b8d-8ca8-e77e9771b69c
Ethan Thompson,32,e303b1cc-a268-4f85-8063-e447c757ede6
Miller Kopp,32,817c559a-6812-42ce-8373-1e8132f3b917
Patrick Baldwin Jr.,32,45b328c0-b3b8-4a36-a0c1-28e39227ca85
Dariq Whitehead,31,9f8b2ee3-8cc5-4a92-aeb9-c8c52d6e37a2
Taelon Peter,31,c870f7e6-686b-40b6-859c-ced3b397cbd8
Saint Thomas,31,9ac60fc8-a677-4c67-8b1a-92c61ac71eec
Emanuel Miller,31,9333d369-df08-4c59-9073-3164d584f481
JaQuori McLaughlin,31,a05930e9-6846-4c42-b5d6-f859b92d97fd
Paul Zilinskas,30,fb3799f7-55e6-46cd-8dba-16e86ee83d37
LJ Figueroa,30,629382e8-fcc6-4974-b0a3-99fd67940f2d
David Jones Garcia,30,8207e744-783c-4fac-8d78-52acb829f00c
Erik Reynolds II,30,f3572151-dba9-4dc4-a48a-792e17a3180b
Jordan Hall,30,4b98be48-a61f-4372-8f5d-25f914555a83
Trey Galloway,30,8303a10f-1748-43ee-9c4c-59abdffdaf87
Jalen Slawson,29,ee32b868-f2aa-47fd-bc12-e2df467173a0
Quincy Olivari,29,cbbbce73-763b-4e1d-820b-1b8f62857eaa
Alex Schumacher,29,74b58589-0ca1-4a71-ac83-93c57a2e8b83
D.J. Carton,29,b902fc9f-4b1a-417f-8af7-bfa5c66c95a3
MJ Walker,29,2733a0f6-5816-47e9-9972-a4f253f15038
Tyler Smith,29,b701694c-6da2-49de-b9a7-ae092466ce67
DaRon Holmes II,29,33ee598f-dbec-467d-982c-9722af3b3261
Arthur Kaluma,29,c7a03fd4-8ba5-4f9e-b62d-db9492da6f1c
Desmond Cambridge,28,5f4ae0bb-b9a5-4c83-8441-1e627500c265
Trhae Mitchell,28,d98ecec8-9937-426e-ba9a-e019ec88d94f
Terrence Hargrove Jr.,28,06c40ea5-9150-470e-8f6a-7cde4a102ef6
Jason Preston,28,b609ade3-6177-4d12-8f4d-e717beb97f97
Jabri Abdur-Rahim,28,5ba18e46-b710-44bf-8369-1185adf0ce77
Jeremiah Robinson-Earl,28,1a9ac6bd-8b02-4fe8-8096-c435a2a90100
Kira Lewis Jr.,28,ce287780-67de-44fa-86c2-d87dec5a1e28
Nolan Traore,28,4b2dd1ee-169e-4af4-9877-1e600ccc1ac5
Hunter Cattoor,28,3b01bc5d-08ef-4a1a-afff-52c5c9f81849
Johnny Davis,27,bd507dbb-cb87-4e45-ad2e-1990df07ac20
Anton Watson,27,8cb4b74b-84e9-40e3-9a3a-a7dd7be9767b
Yuki Kawamura,27,3d921f8a-1119-4e42-be46-c22ae84d5f58
Jaden Springer,27,8a1c8d1a-13c8-487e-b85e-6b10ecc1d39f
DaJuan Gordon,27,b7cd24eb-bd7e-4dcc-99a2-7236606d1541
Matthew Cleveland,27,45913c55-0376-4b4f-9935-00471ffb3033
Justin Harmon,26,4c8abee4-0270-4d98-b4ab-cff9969857fc
Isaiah Roby,26,19602b62-cfbe-4d35-81f5-bc244327960e
Steve Settle III,26,f52af8fd-29ee-4aa7-9c70-e211a5d73a12
Romeo Weems,26,9920a386-699e-42ad-90ac-8fb89d78d1f9
Zhaire Smith,26,bf29165e-4d8e-4760-a070-5502dd6c2176
Paul Watson,26,1aae577a-f08a-437b-81ed-160d66e586b9
Elijah Harkless,25,629588b6-9560-45b9-ae52-ff90c299fc4d
Cameron McGriff,25,55ec130c-b918-4d9b-9fe5-9b79a5f370f2
RJ Felton,25,a593fa2b-cb79-4f8a-8139-bba7a2133f2c
Phillip Wheeler,25,3d20e735-543b-415b-835b-fa80295fa157
Cameron Matthews,25,2b3321e5-dc2b-4c37-9ee5-36336690c3ec
Jameer Nelson Jr.,25,55218f5a-96d0-455d-953e-1af096389bc1
Kameron Warrens,25,14a1175f-1e82-4a12-9edf-f9445dc58270
RJ Melendez,25,090cc6af-edb2-4cf8-a374-9b90193c330d
Dakota Mathias,24,9f1f34c6-66d2-4093-9328-d2fffffb97d5
Chaney Johnson,24,4007e9ee-5f46-4b39-9d77-0001aa54f1f4
Rocco Zikarsky,24,7a36a328-5e4b-42b6-a21b-39e9f97e0188
E.J. Liddell,24,f76c835b-10f6-42aa-aafe-3c87b5be8866
DeJon Jarreau,24,3cd02b89-3d2f-46ff-b392-29215f6825b4
Victor Oladipo,23,ff415fa8-89ef-11e6-bc85-a45e60e298d3
Au'Diese Toney,23,a127ee52-bbec-46b6-990c-93a2c3d57b87
Justin Minaya,23,8a534421-7dd1-49c4-a304-7b5a2341f904
Reece Beekman,23,a419b920-f119-41d8-af53-47d3b49ea811
Kevin McCullar Jr.,23,1ebb0958-b242-4b10-a0cb-cc3182f35814
Isaac Jones,23,a35d4b94-e6ff-4f4a-8f40-d64d70dd4c3a
KJ Simpson,23,1287087b-e6ba-41f9-b2b5-a3d2d1c8d682
Matt Cross,23,8b71b1ce-93f8-4cf0-9099-64c91af44202
Liam McNeeley,23,ba22d012-f7ce-4a1a-873e-d6c3ccf7ae5a
Tosan Evbuomwan,23,3836af33-7171-4f6b-b4e3-7dc129d8efa6
Johni Broome,23,12c34cc3-1005-4454-bcfa-a5332744fd4c
Ruben Nembhard Jr.,22,27574eb5-d76b-4147-882e-38f3edc014b3
Ben Saraf,22,f92bdf23-732f-412f-9b84-9c088cd9474b
Tamar Bates,22,4e132a3e-20b7-4058-9b69-c71ed0bfd654
Charles Bassey,22,089bae1f-5cd7-438c-8ebb-061918727a25
Yuri Collins,22,7a58adf5-73d4-4f5e-b042-6ab0d8862313
Keshon Gilbert,22,10762d58-0a4c-416e-8e01-0af744c29286
Giorgi Bezhanishvili,22,4d0b25c0-eb2c-423a-875e-ba9f74999bdf
Viktor Lakhin,22,386162d7-b5e6-4aca-9174-cfba1382d491
Zack Austin,21,cdb9a6bd-2259-43bc-9209-03da5b72234b
Cameron Hildreth,21,2c4cbc5a-83fe-4562-afdd-859499b77aa5
Adama Bal,21,3559f9a3-9132-409e-a701-a4c5757cb325
Tyson Degenhart,21,7ce310e3-5034-435f-85fd-9db70356ed75
Tre King,21,2928912b-dd61-4f60-aa20-a01d295e03d6
Igor Milicic, Jr.,21,96e51137-1852-4b4b-8809-7d07d81b22a8
Chris Livingston,20,f79d533e-f423-4752-a088-6d507d795bdb
Josh Oduro,20,8356850f-e674-4868-8a3b-7cf5b6193dce
Zyon Pullin,20,21f03dac-c84d-48c5-80ce-a54781f63914
Kobe Stewart,20,9c8748fc-6d1c-4911-99a0-94e1cf486b48
Donte Ingram,20,1034b6f9-7fc5-4f5f-94fa-2ab920658dd3
Zhuric Phelps,20,cbddda95-fa69-4ae6-b6b0-247f5c669b7f
Toby Okani,20,a6c4645d-9238-44cf-92aa-fd318ebb8ebf
Chris Manon,20,5dde0a80-753d-41a6-9ffa-6193317a3a17
Pete Nance,20,a9d51846-7123-4773-be70-de509c877a08
Hank Morgan,20,29d938d7-ce0a-4aba-9b2e-b17b2e8d8ee5
Adam Flagler,20,60b1ff6f-7e65-4d93-8b0b-fe76747cb0db
Jonathan Pierre,20,94306db4-8243-44b3-9f3e-eb1dd9e258b7
Malevy Leons,19,a6b91d1a-7a93-4bda-8562-d762d1f5ad47
Franco Miller, Jr.,19,d681a7cd-c0ad-4497-975c-f750b762a74e
Craig Randall II,19,57c94d1b-101e-4b0a-afc5-d9716233e92d
Antoine Davis,19,cc05d44b-5260-48a3-b9b6-61ce282a67c0
Tyler Polley,18,e48e99e8-0b78-493c-9d6f-15b65e7869c6
Cameron Brown,18,c2df5312-12de-4f83-9d1a-3f3c2ab6148f
Mo Bamba,18,ee761e41-d0d2-4a56-84cf-353e2ae5a961
Marcus Garrett,18,723b0c0c-ac5b-4b0c-b84c-01da7be6c705
Caleb McConnell,18,9ea29be6-8741-4b28-9a3f-b73d1919c900
Deivon Smith,18,9ffb6f28-8fa0-4650-bd30-47f8aa7235a2
Alex Morales,18,21a9c7c7-f211-4710-9932-3ecfa2fd4256
Asa Newell,18,eb38ea24-c68c-4f72-9a55-2e397b4f0124
Kadary Richmond,18,5f0c2302-aaca-4ac1-b70f-f25abbe14186
Michael O'Connell,18,e4133038-cf2f-4227-a6d5-566eb968a245
Justyn Hamilton,18,7be325aa-4951-4bc9-948d-d4177d4cbb1c
Bronny James,18,ec9d7a06-798b-45e0-8eae-a5bfdd92f0ba
Caleb Love,17,163d0a85-fc13-4c76-8e98-93aae28417d2
Cam Carter,17,a183c842-9603-4691-9abd-612235152ad2
PJ Hall,17,4af59bef-250a-46aa-a5d3-e448a55f61ad
Emoni Bates,17,9f1d3f5e-1bf4-4a41-81f4-516081353643
Anthony Pritchard,17,58d7789a-e4bc-46cd-91d5-01526491d417
Stefan Todorovic,16,a0dbe31a-75c6-4777-a920-d506c5633bdf
Christian Shumate,16,40ebb929-1947-4008-9cdc-046aa3a4bd87
Sharife Cooper,16,2d470912-d9ac-4456-916c-372fc4c84cdc
Jarron Cumberland,16,46d86ca8-8056-40c4-8024-2ba83293aa17
Cody Martin,16,0000b397-3cf4-4dd4-a910-000000000131
Steven Ashworth,16,63e0883f-eae7-4a6c-ad8f-c7670247241e
Alex Antetokounmpo,16,34a56ad4-cc65-4406-9566-ff884e10c7af
Jamal Mashburn, Jr.,15,e2dcfe4a-9e16-4ab8-8eee-e15ca0db6eb5
Dennis Smith Jr.,15,4a0f330a-e571-48c4-a685-f82c9436c964
Orlando Robinson,15,e58d10b8-dbfa-46bc-9b80-d078501bcce7
Norchad Omier,15,15c34e0c-e636-4bd1-a7db-6435d201f8c6
Micah Potter,15,1e89c60d-b20e-4499-aba4-b13dba295a52
Max Klesmit,14,ce1fc58a-6a2f-40f5-a83b-c0acdcdf2e01
Colby Jones,14,80ea0675-30db-4ebf-b37f-eb50552e8d0e
Amari Williams,14,7f8f2047-20da-4fde-b1c4-e046ef5d94f1
Augustas Marciulionis,14,89ff2dfc-818b-4d2a-beba-efe0422f6d4c
Tidjane Salaun,14,abc5b21b-f2eb-40cb-a9e6-6eb5abeafe60
Brooks Barnhizer,14,6b9ff8ac-a24a-46b2-8a4a-4f4015c6b353
CJ Huntley,14,a93dac29-3dee-4328-8787-673c2c4d207c
Tyrese Martin,13,1d3ff68e-d714-4f70-b952-02cf2252e990
Luke Travers,13,ef24e628-6674-47d2-8fea-a8ceb61e0fb6
Basheer Jihad,13,bd9b1fa0-957f-4365-8af3-a545d525965b
Mouhamadou Gueye,13,cc3ddd0b-2be3-4043-a3e9-7ae15f6e1ab0
Nikola Topic,13,deb86c8a-aaa2-472e-a66d-a1cbace2c797
Kyle Rose,13,c7fe17cb-17b0-4fe5-bfde-60cdce624f03
Drew Timme,13,30998b89-18c0-4086-ae61-1830056bb1b7
Ryan Nembhard,13,f43050bf-10e7-4919-95a0-272b4c616687
Vladislav Goldin,13,0d1efd50-8b55-402c-af4a-3400a0ecf19e
Coleman Hawkins,13,769be316-e69b-4438-a859-7fbbad08accf
Terry Roberts,13,6b0963ac-b00e-46cd-94e8-e60dc3238718
Nikola Djurisic,13,0e381936-04ed-49fd-87b0-400686b3e145
D'Andre Davis,13,93c1ccb9-a43d-42a7-a037-b8d2057acc02
Pierre Crockrell II,12,1a254905-e1db-43b8-9f5c-b1bf4e663150
Hason Ward,12,99828648-af70-4757-ac4f-8f3e6c8364f5
John Knight III,12,534e334e-2adb-4b8c-9614-8552f0dc5f6d
Kevon Harris,12,8190d885-1fd0-4dad-99d7-2431cc018492
Keon Johnson,12,7cfacef2-8c7b-41e7-9df3-4a570a6de468
Isaiah Hawthorne,12,e186218b-ea58-4542-af85-ac121949c255
Trey Jemison III,12,48e06536-9d6f-4027-9d17-ec477a9ae3a2
Ricky Council IV,12,9027d4b5-4d3d-4ee2-98cd-3d105aa7044b
Nick Jourdain,12,1faa4121-7c60-4b48-91c7-217d64555324
Keyshawn Bryant,12,8bfb0e3f-2c04-4dd5-ab0d-c7bf453b1ed5
Yang Hansen,12,c6156c46-4275-4470-bed6-6c382811ef91
Lachlan Olbrich,12,684950fe-3bcb-47f2-8bfa-a9941e216b28
Tyrese Hunter,11,4f89702e-6e19-48ef-9be1-8da8a0837a2f
Kam Jones,11,93ff04cb-5390-4709-a521-c7ce58713f31
Matt Allocco,11,1542fce4-02f8-434c-8e0b-c655313fea33
William Baker,11,dc9d21e3-68f0-4270-a358-8e68da5bbafc
Cameron Parker,11,15e3cffa-aed2-4d74-a8e0-ec06dfea63c6
Stephen Mitchell,11,1d1c157c-d6cd-492c-8ac1-aca3b6d6c04f
Reynan dos Santos,10,e3cdc093-14ad-4686-ade9-7fc70c5a5a88
Liam Robbins,10,831eb28e-7713-4fbe-bf6b-dd0e1e20b1f5
Andersson Garcia,10,9b93509f-b8d1-4066-ba4c-6338fed2a84f
Zach Hicks,10,8e62f792-31da-4509-a4a8-d0bd4144b94a
Jahmai Mashack,10,f851dd8e-83fb-42a9-8b76-cc5afe5350fa
Devin Carter,10,8a8e683b-3939-4208-b55c-bc9cefe13a54
Trey McGowens,10,a17cb8d2-4fe7-49a1-b4b9-e56f6316d694
GG Jackson,10,de22ebf7-4f76-48b4-805b-b5f87858922f
Giddy Potts,10,7ac29d25-418d-4bf3-b302-cda0f4aa7cae
Abou Ousmane,10,585d08a6-4aa1-45ad-81f0-76cb2c579ab1
Garrison Brooks,10,146c7c56-b7ad-4925-8a9e-93d2c5db55bc
Quincy Guerrier,10,e7a09800-4dd6-4745-8dc3-2bb848800f9e
Julian Reese,10,9f1b6ada-6f2a-4683-9f79-e98b06d24f06
Akoldah Gak,10,e6e552fd-83e6-4bb7-b80a-9b0bae80ad1c
Trentyn Flowers,10,c917a1b8-8537-4dbe-91bb-c8e376d71ee4
Jonathan Mogbo,10,12f2cb53-d3a1-4a42-b6ed-9238a8eab4f7
Justin Edwards,10,c2b8cc6a-c87c-4dc5-bfea-c4630c2b6f3e
Rasheer Fleming,10,4639f41a-c88b-4cf0-91c2-c36d9d4c1e5c
KJ Jones II,10,b34e01c3-fde9-402e-a381-1abc45ea21fb
Riley Grigsby,10,5b7fafbf-2163-4b93-a29d-fc83e9946914
Myron Gardner,9,8de6d5bf-730c-4c48-8f00-7f9da72e979e
Moses Brown,9,81ca845d-dae4-46b5-89e6-86d619acb3c8
Jaylen Martin,9,70021baf-68ca-4b04-a865-fe10b1450b62
Keshad Johnson,9,c5cb7e86-5c88-4bd2-bf14-22a65e7bd094
Kasparas Jakucionis,9,f4881a74-343b-4005-b701-3f53c512aba6
Manny Obaseki,9,e4cdd91f-718d-4c35-95d1-b3aa28ef79b5
Dereon Seabron,9,9cd83bc4-5c2c-4f4d-ba20-8fc69a4cfa8a
M.J. Iraldi,9,bc70e8c9-c8ff-44fc-b539-10f863d5efec
AJ Johnson,9,2b0ac9c2-0fa5-4ee6-9881-03b737e11dc3
Jamal Cain,9,f42a8b63-1ab4-447f-b74f-be293fc58e99
JD Davison,9,833b573b-1366-463c-92ea-56e7718c0dc6
Markelle Fultz,8,1114f266-df53-4313-b425-0021dd87864b
Javon Small,8,6b98a36d-b1bc-4b68-bd5b-0671580d44c4
Brandon Slater,8,eb81af0f-e8c9-4a55-a018-bb56cbc130ff
Drake Powell,8,ed72fbc9-1066-46d8-872e-9a437c4e536e
Jamir Watkins,8,84ba6ce6-9c37-4225-8f84-14a5cbacea65
Bez Mbeng,8,117522bd-3f51-4ef9-99ae-8cf060df132b
Jamaree Bouyea,8,e35aa016-05af-4a0b-92b3-b0d987d11892
Johnell Davis,8,7ddd09bd-a98c-468f-ac39-239c33fe8d79
Taylor Hendricks,7,91ee33ca-2f8a-421c-8a4d-b0f98d5bc54c
Kalil Thomas,7,1e30df52-91e3-4394-8265-d813a892b8c7
Dawson Garcia,7,4aa2ea37-df6a-43f3-9838-5bb4d2e13186
Steven Richardson,7,1baa93ad-ae20-4faf-b428-11c4aac33778
Dylan Cardwell,7,fb79aa4f-8468-454c-80db-1768d95b4e42
Lance Terry,7,2c5a45b8-029d-4556-9186-221becde7ae7
